a lot	a lot: adv. muito
hostess	<i> n</i><b> 1</b> anfitriã, anfitrioa.<b> 2</b> garçonete. <b>3 </b>acompanhante. <b>4 </b>recepcionista. <b>5 </b>aeromoça.
hostile	<i> adj</i> hostil, adverso, inimigo.
hostility	<i> n</i><b> 1</b> hostilidade, inimizade.<b> 2</b> estado de guerra.<b> 3</b> oposição, resistência.
hot	<i> adj</i><b> 1</b> quente.<b> 2</b> apimentado, picante, muito condimentado.<b> 3</b> apaixonado, ardente, excitado, fogoso, ávido, ansioso.<b> 4</b> cobiçoso, lascivo.<b> 5</b> entusiasmado, caloroso.<b> 6</b> zeloso. <b>7</b> furioso, veemente, perigoso. <b>8</b> difícil, árduo. <i>it is hot work</i> / é uma tarefa árdua. <b>9</b><i> sl</i> recente, moderno. <b>10</b> vivo, forte (cores). <b>11</b> quente (diz-se nos jogos de adivinhação e de procurar objetos). <b>12</b> recém-saído. <b>13</b> <i>Electr</i> que conduz corrente ativamente. <b>14</b> bom, excelente. <b>15</b> <i>sl</i> obtido ilegalmente. <b>16 </b><i>sl </i>rápido. <b>17 </b><i>sl </i>pornográfico, sujo. •<i> adv</i><b> 1</b> de modo quente.<b> 2</b> ansiosamente, ardentemente.<b> 3</b> furiosamente. <b>at the hot test</b> no ponto mais perigoso. <b>don’t make it too</b> <b>hot! </b>devagar com isso!, não torne as coisas difíceis! <b>hot and cold </b>mistura de heroína e cocaína. <b>to be hot on</b> a) ser bom em. b) estar interessado em. <b>to be in hot water</b> <i>Amer</i> estar em apuros. <b>to give it</b> <b>one</b> <b>hot </b>criticar ou punir severamente alguém. <b>to give</b> <b>someone a hot</b> <b>time</b> fazer alguém passar apertado. <b>to go like hot cakes</b> ter venda rápida, vender muito. <b>to grow</b> <b>hot </b>esquentar-se, encolerizar-se. <b>to have the hots for </b>ser atraente sexualmente. <b>to hot on the heels of </b>perseguir alguém. <b>to make it hot for</b> dificultar as coisas para, fazer com que as coisas sejam impossíveis para.
hotel	<i> n</i> hotel.
hotfoot	<i>vt</i>+<i>vi coll </i>ir às pressas, apressar(-se). •<i> adv</i> apressadamente.
hour	<i> n</i><b> 1</b> hora.<b> 2</b> tempo.<b> 3</b> período.<b> 4</b> momento.<b> 5</b> grau de longitude.<b> at all hours, at all hours of the day and night </b>o tempo todo, a qualquer hora do dia ou da noite. <b>for hours </b>por um longo tempo. <b>hour after</b> <b>hour, for hour after hour </b>por um longo tempo sem mudança. <b>out of hours </b>fora do horário. <b>the small hours </b>a madrugada. <b>till all hours </b>até muito tarde da noite.
house	<i> n</i><b> 1</b> casa, moradia, residência, habitação, domicílio, lar.<b> 2</b> edifício.<b> 3</b> firma, casa comercial.<b> 4</b> família.<b> 5</b> parlamento, câmara. <b>6</b> lugar de diversão. <b>7</b> asilo, internato. <b>8</b> platéia, assistência, assistentes ou ouvintes. <b>9 </b><i>sl </i>bordel. •<b> </b>[hauz] <i>vt</i>+<i>vi</i><b> 1</b> morar.<b> 2</b> alojar(-se), abrigar, recolher(-se).<b> an appreciative</b> <b>house </b>um público apreciativo.<b> boarding house</b> alojamento. <b>like a house on fire</b><i> fig</i> com sucesso. <b>house of call </b><i>n </i><b>1</b> albergue.<b> 2</b> agência de empregos. <b>house of cards</b> castelo de cartas (também <i>fig</i>). <b>House of Commons</b> Câmara dos Comuns (da Grã-Bretanha). <b>house of correction</b> instituto correcional, penitenciária. <b>House of God</b> igreja. <b>House of Lords</b> Câmara dos Lordes. <b>House of Representatives</b> Câmara dos Deputados (EUA, Austrália, Nova Zelândia). <b>open house </b>casa aberta (visitas podem chegar a qualquer hora, sem necessidade de convite especial). <b>this is on the</b> <b>house </b><i>Amer</i> esta rodada fica por conta da casa. <b>to bring the house down </b>fazer a casa vir abaixo, provocar aplausos. <b>to keep an open</b> <b>house </b>ser hospitaleiro. <b>to keep house</b> fazer o serviço doméstico e não sair para trabalhar fora. <b>to keep the</b> <b>house </b>ficar em casa.
houseboy	<i>n depr </i>empregado que faz serviços domésticos.
housebreaker	<i> n</i><b> 1</b> arrombador.<b> 2</b> ladrão que invade residências.
houseful	<i>n </i>grande quantidade, que enche uma casa.
household	<i> n</i><b> 1</b> casa, lar.<b> 2</b> família.<b> 3</b> negócios domésticos. •<i> adj</i> doméstico, pertencente à casa ou à família.
houseman	<i>n Brit </i>= <b>house physician.</b>
housemaster	<i> n</i> superior de um internato.
houseproud	<i>adj </i>diz-se da pessoa que passa grande parte do seu tempo limpando e enfeitando a casa com o objetivo de ser admirada.
housewifely	<i>adj</i> como dona de casa, doméstico, econômico. •<i> adv</i> à maneira de dona de casa.
housing	<i> n</i><b> 1</b> alojamento, moradia, casas.<b> 2</b> <i>Eng</i> suporte.<b> 3</b> <i>Eng</i> caixa de um mecanismo.<i> n</i> manta para cavalos, xairel.
how	<i> n</i><b> 1</b> pergunta que começa com <i>how.</i><b> 2</b> modo de fazer •<i> adv</i><b> </b>como, de que maneira. <b>how about having tea?</b> que tal tomar um chá? <b>how are you?</b> como vai? <b>how come? </b><i>Amer coll </i>como aconteceu isso? <b>how is it that...?</b> como é que...? <b>how many?</b> quantos? <b>how much?</b> quanto? <b>how much is it?</b> quanto é?, quanto custa? <b>how now?</b> e agora? <b>she knows how to play</b> ela sabe tocar.<b> the how </b>a maneira, o modo.
how many	how many: prn.itg.mf.pl. quanto
how much	how much: prn.itg.mf.sg. quanto
huge	<i> adj</i> imenso, vasto, muito grande, enorme.
hugely	<i>adv</i> enormemente, imensamente. <i>I was hugely amused</i> / diverti-me imensamente.
human	<i> n</i> ser humano, homem.<b> </b>•<i> adj</i> humano.
humanitarian	<i> n</i> humanitário, filantropo. •<i> adj</i> humanitário, bondoso.
humble	<i>vt</i> humilhar, rebaixar. •<i> adj</i><b> 1</b> humilde, modesto.<b> 2</b> pobre.<b> 3</b> submisso. <b>my humble self</b> minha humilde pessoa. <b>to eat humble pie</b> desculpar-se, humilhar-se.
humbly	<i>adv</i> humildemente.
humid	<i> adj</i> úmido.
humor	<i>n Amer</i> = <b>humour.</b>
humorist	<i>n Amer</i> = <b>humourist.</b>
humour	<i> n</i><b> </b><i>Brit</i><b> 1</b> humor, veia cômica, graça.<b> 2</b> temperamento, gênio.<b> 3</b> capricho.<b> 4</b> brincadeira.<b> 5</b> <i>Physiol </i>humor: líquido orgânico. • <i>vt</i> condescender, ceder a, adaptar-se a. <b>good humour</b> bom humor. <b>ill humour </b>mau humor. <b>I must humour him</b> preciso animá-lo, preciso fazer-lhe a vontade. <b>in the humour for</b> disposto a.<b> out of humour</b> indisposto, de mau humor.
hundred	<i> n</i><b> 1</b> cem, cento, centena. <b>2 </b><i>Brit Hist </i>distrito. • <i>adj </i>cem, cento. <b>by the</b> <b>hundred</b> às centenas. <b>five in the</b> <b>hundred </b>cinco por cento. <b>several hundred</b> alguns centos.
hunky	<i> n</i> <i>Amer sl </i>trabalhador braçal estrangeiro, especialmente húngaro. • <i>adj</i> robusto, forte, vigoroso.
hurricane	<i> n</i> <b>1 </b>furacão, tufão, ciclone. <b>2</b> <i>fig</i> situação violenta.
hurtfully	<i>adv</i> perniciosamente, de modo danoso, prejudicial.
hurtfulness	<i> n</i> perniciosidade, qualidade de prejudicial.
husband	<i> n</i> marido, esposo. • <i>vt </i>economizar, poupar.
hymn	<i> n</i> hino (principalmente religioso). • <i>vt</i>+<i>vi</i> cantar hinos.
hyperaesthesia	<i>n</i> = <b>hyperes­thesia.</b>
hyperesthesia	<i> n</i> <i>Med</i> hiperestesia: sensibilidade excessiva de um sentido ou órgão.
hyperinflation	<i>n Econ </i>hiperinflação.
hypnotization	<i> n</i> hipnotização.
hypocrisy	<i> n</i> hipocrisia, falsidade, fingimento.
hypothermia	<i> n Med</i> hipotermia: temperatura do corpo abaixo do normal.
hypothesis	<i> n</i> hipótese, suposição.
iberian	<i> n</i> ibero: habitante da península ibérica. •<i> adj</i> ibérico.
ice	<i> n</i><b> 1</b> gelo.<b> 2</b> sorvete. <b>3</b> <i>coll </i>brilhante, pedras e jóias em geral. <b>4 </b>formalidade, reserva, frieza. <b>5 </b><i>sl </i>droga ilícita. •<i> vt+vi</i><b> 1</b> gelar, congelar, esfriar.<b> 2</b> cristalizar, cobrir com açúcar. <b>dry ice </b>gelo seco. <b>he broke</b> <b>the</b> <b>ice</b> ele rompeu o gelo, ele tornou a situação mais fácil e confortável.<b> he cuts no</b> <b>ice</b> <i>coll </i>ele conta pouco. <b>he is on thin ice </b>ele está em terreno perigoso, está vunerável. <b>he put the project on ice </b>ele deixou o projeto para mais tarde. <b>Italian ice </b>raspadinha. <b>to be on ice </b><i>fig </i>ficar no gelo, ficar isolado. <b>to ice on </b><i>fig </i>excluir alguém, ignorando-o. <b>to</b> <b>ice over/up </b>cobrir-se com uma camada de gelo.
iconic	<i>adj</i> icônico.
iconoclasm	<i> n</i> iconoclasmo.
iconography	<i> n</i> iconografia:<b> 1</b> estudo de imagens.<b> 2</b> coleção impressa de figuras.
idea	<i> n</i><b> 1</b> idéia, ideação, plano, conceito, imaginação.<b> </b><i>you have no idea of it </i>/ você não faz idéia disto. <i>the idea is not bad </i>/ não é má idéia. <i>he can form no idea of it </i>/ ele não o pode imaginar. <b>2</b> opinião, pensamento. <b>3</b> noção, conhecimento, juízo. <i>don’t put ideas into his head </i>/ não encha a cabeça dele. <b>I have an idea that...</b> penso que... <b>what’s the big idea?</b><i> </i>que negócio é esse?, que é que está pensando?
ideal	<i> n</i><b> 1</b> ideal, ídolo.<b> 2</b> perfeição, sublimidade. • <i>adj</i><b> 1</b> ideal, imaginário, visionário. <b>2</b> perfeito, primoroso.
idem	<i>pron Lat </i>o mesmo. •<i> adv</i> na mesma obra.
identical	<i>adj</i> = <b>identic.</b>
identification	<i> n</i><b> 1</b> identificação, verificação.<b> 2</b> documento de identidade. <b>3 </b>empatia.
identify	<i>vt+vi</i> identificar, provar a identidade, a origem, considerar como sendo o mesmo. <b>to identify oneself with</b> identificar-se com.
identikit	<i> n</i> recurso para compor um retrato falado de pessoa procurada pela polícia.
identity	<i> n</i> <b>1</b> identidade, igualdade. <b>2</b> individualidade. <b>to prove one’s</b> <b>identity </b>documentar-se.
ideological	<i>adj</i> ideológico.
idiot	<i> n</i> idiota, ignorante, estúpido.
idol	<i> n</i> ídolo, imagem.
idyllically	<i>adv</i> com idílio, de modo idílico.
ignorance	<i> n</i> ignorância. <i>ignorance of the law is no defence </i>/ a ignorância da lei não exime de culpa.
ignore	<i>vt</i> <b>1</b> não considerar,<b> </b>desconsiderar. <b>2 </b>negli­­genciar, não fazer caso de. <b>3 </b><i>Jur </i>rejeitar, negar provimento.
ill	<i> n</i> <b>1</b> mal, desgosto, calamidade, aflição. <b>2 </b>doença, enfermidade. •<i> adj</i><b> 1</b> doente, indisposto.<b> </b><i>I was ill </i>/ fiquei doente. <b>2</b> ruim, desfavorável, maléfico. <b>3</b> impróprio, prejudicial, maligno. •<i> adv</i><b> 1</b> mal, não bem. <b>2 </b>dificilmente, imperfeitamente.<b> 3</b> raramente. <b>ill at</b> <b>ease</b> a)<b> </b>desconfortável, constrangido, ansioso. b)<b> </b>inquieto, intranqüilo. <b>to be taken</b> <b>ill </b>ficar doente. <b>to speak</b> <b>ill </b>falar mal. <b>to take it ill </b>sentir-se ofendido. <b>with an ill grace</b> desgraciosamente.
illegal	<i>adj</i> ilegal, ilegítimo.
illegally	<i>adv</i> ilegalmente.
illicit	<i> adj</i> ilícito, proibido, contrário à moral ou ao direito.
illness	<i> n</i><b> 1</b> doença.<b> 2</b> indisposição.
illogicality	<i> n</i> falta de lógica.
illusion	<i> n</i><b> 1</b> ilusão, engano dos sentidos.<b> 2</b> decepção.
illusionist	<i>n </i>ilusionista, prestidigitador.
illustrate	<i>vt</i> ilustrar, esclarecer, elucidar. • <i>adj</i> ilustre, distinto, renomado.
illustration	<i> n</i><b> 1</b> ilustração.<b> 2</b> elucida­ção, esclarecimento.
illustrator	<i> n</i><b> 1</b> ilustrador.<b> 2</b> explicador.
image	<i> n</i><b> 1</b> imagem, retrato, ídolo, estátua.<b> 2</b> cópia, símbolo.<b> 3</b> idéia. • <i>vt</i> <b>1</b> formar uma imagem. <b>2</b> imaginar. <b>3</b> espelhar. <b>4</b> retratar.
imagine	<i>vt+vi</i><b> 1</b> imaginar, figurar-se, re­pre­sentar-se.<b> 2</b> pensar, supor, crer. <b>just imagine!</b> imagine!
imitate	<i>vt</i> imitar, copiar.
immediate	<i>adj</i> imediato, instantâneo, urgente.
immediately	<i>adv</i> imediatamente, logo.
immense	<i> adj</i> <b>1 </b>imenso, infinito, enorme. <b>2 </b><i>sl</i> for­midável.<b> 3</b> <i>sl </i>muito.
immigrant	<i> n</i> imigrante. •<i> adj</i> imigrante.
immigration	<i> n</i> imigração.
imminent	<i> adj</i> iminente, pendente, que em breve sucederá.
immortal	<i> n</i> imortal. • <i>adj</i><b> 1</b> imortal, eterno.<b> 2</b> eternamente famoso.
immortalization	<i>n</i> = <b>immor­talisation.</b>
impact	<i> n</i> impacto, colisão. • [´imp´ækt] <i>vt</i> unir, apertar, imprensar, comprimir.
impartial	<i> adj</i> imparcial, objetivo, desinteressado, neutro.
impatience	<i> n</i><b> 1</b> impaciência.<b> 2</b> intolerância. <b>3 </b><i>fig</i> ansiedade.
impeachable	<i> adj</i> que pode ser acusado, contestado, impedido em suas funções.
impetuousness	<i>n</i> =<b> impetuosity.</b>
impetus	<i> n</i><b> 1</b> ímpeto, impulso, estímulo, incentivo.<b> 2</b> energia de movimento.
impiousness	<i> n</i> qualidade de ímpio.
implant	<i>n </i>implante. • <i>vt</i> implantar, inserir, enxertar, fixar, inculcar.
implantation	<i> n</i> implantação, inserção, inculca.
implication	<i> n</i><b> 1</b> implicação, complicação, envolvimento.<b> 2</b> conclusão. <b>3 </b>insinuação.
imploringly	<i> adv</i> suplicantemente.
imply	<b> </b><i>vt</i><b> 1</b> conter, encerrar, envolver. <b>2</b> inferir, deduzir, concluir, significar, sugerir.<b> it is implied from</b> isto se deduz de.
import	<i> n</i><b> 1</b> importação.<b> 2</b> importância, significação.<b> 3</b> conseqüência. <b>4</b> produto ou matéria-prima importada. <b>5 </b>idéia importada. • [imp´6:t] <i>vt+vi</i><b> 1</b> importar, introduzir mercadorias estrangeiras.<b> 2</b> significar, importar, ser de importância.<b> 3</b> envolver.<b> 4</b> atingir, concernir.
importance	<i> n</i><b> 1</b> importância.<b> 2</b> conseqüência.<b> 3</b> consideração. <b>4</b> influência. <b>of great</b> <b>importance </b>de grande importância.
important	<i> adj</i><b> 1</b> importante.<b> 2</b> influente.<b> 3</b> essencial.<b> 4</b> considerável.<b> 5</b> presunçoso.
impose	<i>vt+vi</i><b> 1</b> impor, pespegar, obrigar, mandar, fixar, ordenar.<b> 2</b> enganar, iludir. <b>3 </b>impor-se a, fazer-se aceitar por. <b>4 </b>tirar vantagem. <i>they imposed upon his good nature</i> / eles aproveitaram-se da sua bondade. <b>to impose upon someone </b>a) enganar alguém.<b> </b>b) impressionar alguém.
impossible	<i> adj</i><b> 1</b> impossível, muito difícil.<b> 2</b> incrível, inacreditável.<b> 3</b> insuportável.
impotent	<i> n</i> impotente. •<i> adj</i> impotente, incapaz, fraco.
impracticability	<i>n</i> imprati­cabilidade, impossibilidade.
impression	<i> n</i><b> 1</b> impressão, marca, estampa, sinal, cunho.<b> 2</b> impresso, exemplar (de uma obra impressa), edição.<b> 3</b> impressão (no espírito), abalo, efeito moral, sentimento.<b> 4</b> idéia, noção, pensamento. <b>5 </b>imitação engraçada de uma pessoa famosa.<b> to be under the impression that, to have an impression that</b> ter a impressão de que. <b>to make an impression </b>impressionar (as pessoas).
impressive	<i>adj</i> impressivo, comovente.
imprison	<i>vt </i>prender, encarcerar.
improve	<i>vt+vi</i><b> 1</b> melhorar, aperfeiçoar.<b> 2</b> cultivar.<b> 3</b> aproveitar.<b> 4</b> refinar.<b> 5</b> melhorar, progredir, aperfeiçoar-se.<b> 6</b> restabelecer-se (de doença).<b> 7</b> <i>Tech </i>revenir (aço). <b>to improve away</b> melhorar, eliminando alguma coisa. <b>to improve in</b> aperfeiçoar-se em. <b>to improve (up) on </b>a) aperfeiçoar.<b> </b>b) tirar proveito de (no sentido moral).
improvement	<i> n</i><b> 1</b> melhora, melhoria, melhoramento.<b> 2</b> aperfeiçoamento, progresso.<b> 3</b> proveito.<b> 4</b> aumento.
improvise	<i>vt+vi</i> improvisar, fazer alguma coisa sem preparação.
imprudently	<i>adv</i> imprudentemente.
impulse	<i> n</i><b> 1</b> impulso, ímpeto. <b>2</b> estímulo.
impunity	<i> n</i> impunidade. <b>with impunity</b> impune, sem castigo.
in	<i> n</i> <b>ins</b> pessoas<i> </i>ou partido no poder. •<i> adj</i> interno. •<i> adv</i> dentro, não fora. • <i>prep</i> em, dentro, durante, por, de, a, para. <i>she has it in her </i>/ ela é capaz de tudo. <i>there is nothing in it </i>/ não há nada nisto. <i>I found a friend in him </i>/ encontrei nele um amigo. <i>he is in it </i>/ ele está envolvido nisto. <i>am I to be in on this? </i>/ <i>coll </i>estarei nesta marmita?, terei meu quinhão disto? <b>1</b> (indicando o lugar) <b>in town</b> na cidade. <b>in</b> <b>America</b> na América. <b>in the country</b> no campo, no país. <b>in camera</b><i> Jur</i> em sessão secreta.<b> 2</b> (indicando o tempo) <b>in</b> <b>spring</b> na primavera. <b>in October</b> em outubro. <b>in the afternoon</b> à tarde. <b>in 1954</b> no ano de 1954. <b>in a fortnight</b> dentro de duas semanas. <b>in life</b> durante a vida. <b>in his sleep</b> durante o seu sono.<b> 3</b> (indicando o estado) <b>in</b> <b>adversity</b> na miséria. <b>in debt</b> endividado. <b>in hopes</b> na esperança. <b>in pieces</b> em pedaços. <b>in good humour</b> de bom humor. <b>in trouble</b> em apuros.<b> 4</b> (indicando traje ou aspecto) <b>in black</b> de preto. <b>in arms</b> em armas. <b>in uniform</b> de uniforme, fardado. <b>in silk</b> com vestido de seda. <b>5</b> (indicando estado atmosférico) <b>in (the) rain</b> na chuva. <b>in bad weather</b> com tempo ruim.<b> 6</b> (indicando tamanho ou número) <b>in size</b> em tamanho. <b>ten in number</b> em número de dez. <b>six feet in length</b> seis pés de comprimento.<b> 7</b> (indicando o modo) <b>in pairs</b> em pares. <b>in any case</b> em qualquer caso. <b>in</b> <b>itself</b> por si mesmo. <b>in turn</b> em ordem seguida. <b>in writing</b> por escrito. <b>in a few words</b> em poucas palavras. <b>in</b> <b>Portuguese</b> em português. <b>8</b> (indicando finalidade e causa) <b>in her defence</b> em sua defesa. <b>in his honour</b> em sua honra. <b>in reply to</b> em resposta a. <b>blind in one eye</b> cego de um olho. <b>one in ten</b> um em dez. <b>a penny in a pound</b> um pêni por libra. <b>in here</b> aqui dentro. <b>come in!</b> entre!<b> do you</b> <b>go in for tennis?</b> você joga tênis? <b>he is in for</b> <b>it</b> pegaram-no como Judas, ele pagará o pato. <b>I’m all in</b> <i>Amer coll </i>estou liquidado, cansado. <b>in absentia </b>na ausência, apesar de ausente. <b>in a funk </b><i>sl<b> </b></i>deprimido, nervoso, amedrontado. <b>in a hole </b><i>coll </i>no buraco, com dificuldades. <b>in a huff </b><i>sl </i>bravo, petulante. <b>in a jam</b><i> coll </i>em uma enrascada. <b>in a lather</b><i> coll </i>bravo, nervoso. <b>in a pinch</b><i> coll </i>se necessário. <b>in as much as</b>, <b>in so far</b> <b>as</b> visto que, porquanto, tanto quanto. <b>in a sweat</b><i> coll </i>irritado, tenso. <b>in business </b>em operação. <b>in cash</b> <i>coll </i>provido de dinheiro. <b>in clover</b><i> coll </i>numa boa.<b> in company training </b>treinamento na empresa. <b>in Dutch</b><i> coll </i>numa enrascada. <b>in harness</b><i> coll </i>trabalhando ativamente.<b> in high gear</b><i> coll </i>em uma fase de grande atividade. <b>in hock</b><i> coll </i>pendurado, empenhado. <b>in hot water</b><i> coll </i>numa enrascada. <b>in itself </b>em si mesmo, intrinsicamente. <b>in sync</b><i> coll </i>em harmonia. <b>in that</b> visto que, desde que. <b>in the bag</b><i> coll </i>arruinado, destruído. <b>in the bucks</b><i> coll </i>com muito dinheiro. <b>in the buff</b><i> coll </i>pelado, nu.<b> in the cards</b><i> coll </i>nas cartas, certo de acontecer. <b>in the dog house</b><i> coll </i>na pior. <b>in the flesh</b><i> coll </i>pessoalmente. <b>in the hay</b><i> coll </i>na cama. <b>in the know</b><i> coll </i>bem informado. <b>in the tub</b><i> coll </i>arruinado. <b>in the wrong</b><i> coll </i>errado.<b> in with you!</b> venha para dentro! <b>summer is</b> <b>in </b>o verão chegou.<b> the in-patient</b> o paciente interno, internado. <b>the ins</b> os que governam, ministros. <b>the ins and outs </b>a) os partidos situacionista e oposicionista. b) os detalhes.<b> </b><i>he knows the ins and outs </i>/ ele conhece todos os detalhes.<b> </b>c) as vantagens e as desvantagens. <b>to be in</b> a)<b> </b>estar em casa. b)<b> </b>ter chegado (o trem, o ônibus). c) estar no poder. <b>to get in</b> entrar, penetrar. <b>to go in</b> entrar. <b>to keep in</b> deixar de castigo (escola).<b> to keep</b> <b>one’s hand<i> </i>in something</b> manter-se metido num negócio.
in a little while	in a little while: adv. em seguida
in abundance	in abundance: adv. em abundância
in addition	in addition: adv. ademais
in addition to	in addition to: pr. além de
in agreement	in agreement: adv. conforme
in all conscience	in all conscience: adv. sinceramente
in between	in between: adv. no meio
in bulk	in bulk: adv. por atacado
in conjunction	in conjunction: adv. conjuntamente
in earnest	in earnest: adv. seriamente
in exchange	in exchange: adv. em troca
in fact	in fact: adv. de fato
in fairness	in fairness: adv. sinceramente
in front	in front: adv. ante, in front: adv. frente, in front: adv. defronte, in front: adv. diante, in front: adv. em frente
in front of	in front of: pr. ante, in front of: pr. perante, in front of: pr. adiante de
in kind	in kind: adv. amavelmente
in order that	in order that: cnjadv. contanto que
in passing	in passing: adv. de passagem
in plenty	in plenty: adv. em abundância
in return	in return: adv. em troca
in short order	in short order: adv. em seguida
in the first instance	in the first instance: adv. em primeiro lugar
in the first place	in the first place: adv. em primeiro lugar
in the middle	in the middle: adv. no meio
in the nick of time	in the nick of time: adv. por um fio
in the same way	in the same way: adv. do mesmo modo
in the short term	in the short term: adv. em curto prazo
in this fashion	in this fashion: adv. desta guisa
in this way	in this way: adv. desta guisa
in total	in total: adv. ao todo
in turn	in turn: adv. em troca
in vain	in vain: adv. em vão
inability	<i> n</i> incapacidade, inaptidão, falta de poder.
inadmissible	<i> adj</i> inadmissível: que não se pode admitir.
inappropriateness	<i>n</i> impropriedade, inadequação, inaptidão.
inarticulateness	<i> n</i> falta de articulação, dicção ruim.
inattentively	<i>adv</i> desatentamente.
inaudibility	<i> n</i> qualidade do que não se pode ouvir.
inauguration	<i> n</i> <b>1 </b>inauguração: ato de inaugurar, solenidade inaugural. <b>2 </b>posse (líder político), investidura.
inauspiciously	<i>adv</i> desfavoravelmente.
incapable	<i> adj</i><b> 1</b> incapaz, inábil.<b> 2</b> im­pró­prio.<b> 3</b> ilícito. <b>incapable of acting in law</b> incapaz perante a lei.
incautiously	<i>adv</i> incautamente, descuidadamente.
incentive	<i> n</i> incentivo, estímulo. •<i> adj</i> incen­tivo, estimulante.
incestuously	<i>adv</i> incestuosamente.
incident	<i> n</i> incidente, ocorrência, circunstância, acontecimento. •<i> adj</i><b> 1</b> provável.<b> 2</b> pertencente, ligado, conexo, próprio. <b>3</b> incidente. <b>without incident </b>sem incidentes, sem problemas.
incidentally	<i>adv</i><b> 1</b> incidentemente, casualmente.<b> 2</b> conseqüentemente.
incite	<i>vt</i> incitar, estimular, encorajar.
inclination	<i> n</i> inclinação:<b> 1</b> propensão, tendência, disposição.<b> 2</b> <i>Astr, Geogr</i> desvio.
incline	<i> n</i> inclinação, plano inclinado, declive. • <i>vt+vi</i><b> 1</b> inclinar-se, curvar-se, ter tendência para, estar disposto, inclinar a, ter propensão.<b> </b><i>he did not feel inclined to sing </i>/ ele não estava disposto a cantar. <b>2</b> inclinar, curvar, baixar, dirigir.
include	<i>vt</i><b> 1</b> incluir, abranger, compreender, envolver, implicar.<b> 2</b> encerrar, fechar, conter.
included	<i> adj</i> incluso, incluído, compreendido.
incognizance	<i>n</i> = <b>incognisance.</b>
income	<i> n</i> renda, salário, pagamento, honorário.
incomer	<i> n</i><b> 1</b> o que chega.<b> 2</b> intruso.<b> 3</b> sucessor.
incompetence	<i> n</i> incompetência, inabilidade, incapacidade.
incomprehensibility	<i> n</i> incompreensibilidade.
incomprehension	<i> n</i> incom­preensão, falta de compreensão.
inconsolably	<i>adv</i> inconsolavel­mente.
incorporate	<i>vt+vi</i> incorporar, unir, ligar, reunir, juntar. • [ink´6:p2rit]<i> adj</i> incorporado, unido. <i>adj</i> = <b>incorporeal.</b>
incorporation	<i> n</i><b> 1</b> incorporação, corporação.<b> 2</b> inclusão, agrupamento.
incorruptibly	<i>adv</i> incorruptivel­mente.
increase	<i> n</i><b> 1</b> aumento, crescimento, incremento, progresso<b> 2</b> <i>arch </i>prole, descendência. • [i7kr´i:s] <i>vt+vi</i><b> 1</b> aumentar, crescer, ampliar, reforçar.<b> 2</b> aumentar-se. <b>on the increase </b>em alta, em aumento.
increasing	<i>adj </i>crescente.
incredible	<i> adj</i> <b>1 </b>inacreditável, incrível. <b>2 </b>fantástico, maravilhoso.
incredibly	<i>adv</i> inacreditavelmente, incrivelmente.
indecorously	<i>adv</i> indecorosamente.
indeed	<i>adv</i> de fato, realmente, certamente, na verdade, naturalmente, entretanto. • <i>interj</i> realmente!, decerto!, deveras! é mesmo? <b>indeed I was</b> decerto, estive mesmo. <b>thank you very much indeed!</b> muito obrigado! <b>this is indeed a problem, this is a problem indeed</b> isto é realmente um problema. <b>were you there indeed?</b> você esteve lá de fato?
indefinite	<i> adj</i><b> 1</b> indefinido, vago, incerto.<b> 2</b> infinito.
independence	<i> n</i> independência, autonomia, liberdade.
independent	<i> n </i>independente: político que não representa nenhum partido. • <i>adj</i><b> 1</b> independente, livre.<b> 2</b> auto-suficiente.<b> 3</b> imparcial. <b>man of independent means</b> homem que vive de rendimentos.<b> she is independent</b> ela é independente.
independently	<i>adv</i> independente­mente.
indestructibility	<i> n</i> indestru­tibi­lidade.
index	<i> n</i> (<i>pl</i> <b>indexes</b>, <b>indices</b>)<b> 1</b> índex, índice, tabela, lista de capítulos, de nomes, relação alfabética.<b> 2</b> sinal, indicador, poste itinerário, seta, flecha.<b> 3</b> ponteiro, agulha (de um instrumento).<b> 4</b> número, fórmula.<b> 5</b><i> Math</i> exponente.<b> 6</b> escala.<b> 7</b> característica do logaritmo.<b> 8</b> índex: catálogo de livros proibidos pela Igreja. <b>9</b> dedo indicador. • <i>vt</i><b> 1</b> prover de índice.<b> 2</b> incluir em índice. <b>3 </b>indexar, relacionar. <b>humidity index </b>índice de umidade.
indian	Indian: adj. índio
indicate	<i>vt</i><b> 1</b> indicar, aludir, mostrar, demonstrar, revelar, designar.<b> 2</b> aconselhar. <b>3 </b>sinalizar (uso das mãos ou faróis ao dirigir).
indication	<i> n</i><b> 1</b> indício, sinal, indicação, alusão.<b> 2</b><i> Med</i> sintoma.
indicator	<i> n</i><b> 1</b> indicador, pessoa ou objeto que indica, ponteiro.<b> 2</b> instrumento de medição ou de registro.<b> 3</b><i> Chem </i>indicador: substância (corada) para indicar alguma reação.
indictment	<i> n Jur</i> acusação (formal).
indifferent	<i> n</i> pessoa imparcial, neutra.<i> </i>• <i>adj</i><b> 1</b> indiferente, apático, imparcial, negligenciável.<b> 2</b> medíocre, bem mal.<b> 3</b> <i>Chem, Phys</i> neutro, inerte. <b>4 </b>mediano, regular, passável.
indignation	<i> n</i> indignação.
indirectly	<i>adv</i> indiretamente.
indiscipline	<i>n</i> indisciplina, desobediência.
indiscriminately	<i>adv</i> indiscri­minadamente, indistintamente.
